tokens;tickers;Total tests;Ecart BB 4d;Position % BB 4d;Position % BB 4h;Position % BB 30m;Tests MM 4d;Tests MM 4h;Tests MM 30m;"Combo RSI";"Tests RSI";Surventes RSI 4d;Surachats RSI 4d;Tests CCI;Test CHOP;chop 4d;chop 4h;chop 30m;Charged chop 4d;Charged chop 4h;Charged chop 30m;notation vol;var vol 1 jour;var vol 7 jours;var vol 14 jours
ripple;xrp;7;111%;31%;61%;15%;100;10;100;;10;20;-58;0;0;25;50;25;44;46;41;2;2%;8%;8%
thorchain;rune;7;158%;78%;9%;23%;10;100;0;;1;7;82;0;0;16;28;36;59;37;38;2;0%;14%;40%
trust-wallet-token;twt;7;18%;9%;28%;21%;0;0;0;;10;13;-136;0;2;61;62;39;37;39;39;1;0%;4%;-5%
looksrare;looks;7;39%;32%;19%;36%;0;0;101;;1;4;-71;0;1;67;41;28;41;33;47;1;1%;0%;-11%
persistence;xprt;7;126%;21%;67%;31%;0;10;1;;10;1;-98;0;1;28;49;82;39;52;47;1;0%;3%;-15%
stargate-finance;stg;7;33%;11%;100%;62%;0;1;110;;1;11;-142;0;3;58;59;60;40;50;55;2;-1%;12%;-6%
tranchess;chess;7;36%;13%;63%;37%;0;11;100;;10;6;-141;0;0;55;52;42;34;50;48;2;1%;5%;-3%
sushi;sushi;7;41%;12%;59%;20%;0;1;100;;11;4;-136;0;1;53;58;29;38;46;45;2;-1%;5%;-7%
just;jst;7;29%;15%;46%;21%;0;10;100;;10;10;-116;0;1;39;71;28;38;44;42;2;0%;-1%;5%
conflux-token;cfx;7;117%;11%;27%;62%;0;1;111;;11;20;-131;0;1;59;52;48;35;43;54;2;1%;24%;1%
siacoin;sc;7;42%;21%;89%;18%;0;11;100;;10;9;-92;0;1;38;25;60;41;64;45;3;329%;-56%;7%
ardor;ardr;7;40%;12%;40%;42%;0;10;101;;10;7;-122;0;1;47;58;53;38;44;49;2;-36%;-2%;67%
stp-network;stpt;7;33%;48%;63%;0%;10;10;0;;0;15;-10;10;0;48;51;33;49;48;29;1;-8%;-23%;-33%
harmony;one;7;52%;7%;63%;46%;0;1;100;;11;9;-142;0;1;49;60;39;32;44;52;3;0%;6%;4%
telcoin;tel;7;75%;11%;62%;28%;0;10;0;;11;12;-126;0;2;37;68;64;28;47;40;2;1%;9%;8%
secret;scrt;7;62%;4%;29%;60%;0;0;11;;11;0;-162;0;0;44;49;36;28;39;52;2;0%;8%;17%
dogecoin;doge;7;36%;25%;32%;56%;0;0;101;;11;7;-83;0;1;40;72;38;41;46;52;1;3%;7%;-20%
thunder-token;tt;7;36%;54%;67%;23%;1;110;0;;10;6;10;0;0;46;28;44;50;56;44;4;0%;218%;122%
streamr;data;7;33%;17%;66%;5%;0;10;0;;10;14;-112;0;1;54;55;65;36;51;42;3;2%;0%;24%
gari-network;gari;7;772%;22%;43%;2%;0;1;100;;11;4;-100;0;1;41;69;44;25;42;39;2;1%;4%;-6%
alchemy-pay;ach;7;87%;10%;53%;42%;0;1;101;;11;19;-132;0;0;51;52;29;31;46;52;2;1%;20%;-3%
wemix-token;wemix;7;38%;19%;28%;12%;0;0;0;;10;6;-100;0;3;72;76;63;35;44;38;1;-7%;5%;-8%
woonkly-power;woop;7;136%;22%;34%;47%;0;0;110;;1;2;-124;0;1;28;58;39;40;35;50;2;0%;14%;-4%
radio-caca;raca;7;42%;11%;35%;14%;0;0;0;;11;0;-138;0;3;61;72;83;29;42;45;3;0%;7%;34%
unizen;zcx;7;91%;13%;46%;11%;0;1;100;;11;3;-119;0;1;42;52;80;32;48;46;2;0%;15%;10%
moviebloc;mbl;7;45%;29%;70%;35%;0;10;101;;10;14;-75;0;0;36;29;43;43;51;48;0;-3%;-20%;-28%
aleph-zero;azero;7;31%;5%;21%;0%;0;0;0;;11;9;-149;10;2;50;76;64;32;35;38;2;1%;5%;1%
crypto-com-chain;cro;7;27%;12%;89%;22%;0;11;100;;10;0;-125;0;0;41;27;41;33;55;46;3;0%;53%;17%
dent;dent;7;44%;5%;50%;40%;0;1;100;;11;11;-145;0;1;47;66;55;34;45;49;3;0%;8%;6%
prosper;pros;7;82%;18%;87%;23%;0;11;100;;10;4;-112;0;0;52;50;47;33;55;49;3;0%;9%;229%
