tickers,cours,total_tests,ecart_BB_w,position_prix_BB_w,position_prix_BB_d,position_prix_BB_h4,ZL_MACD_hist,Tests_MM_w,Tests_MM_d,Tests_MM_h4,Tests_RSI,combo_rsi,Tests_CCI,combo_cci,CHOP_w,combo_chop,Hammer_1w,Hammer_1d,Tests_VOL,VOL_var_1d,VOL_var_7d,VOL_var_14d
LSK,0.507,6.0,3.095116799902453,0.16353675733294373,-0.007448581216489699,0.27439811249278756,101.0,0.0,0.0,1.0,100.0,,101.0,,35.908324200610885,,504.0,27.0,1.0,-0.22140790117822012,0.0889723155857567,-0.2981238931966597
LTC,83.9,6.0,0.7740768661839316,0.0901758592705905,-0.01215867405492751,0.20225984817303955,1.0,100.0,0.0,0.0,100.0,,100.0,oversold,62.883033043769814,,35.0,56.0,1.0,-0.468986430164146,-0.08446759013570534,-0.4561876049311662
LTO,0.055,5.0,24.410055920643853,0.220933455366768,0.049177354244947444,0.5228445104849812,101.0,0.0,0.0,1.0,0.0,,101.0,,31.786589359503317,,35.0,13.0,2.0,-0.008657181727907564,0.020052240094378105,-0.2892867279827517
LUNA,0.1861,5.0,12.29080098742161,0.22630092068767668,0.1257845215149209,0.35756899186312063,101.0,0.0,0.0,1.0,100.0,,101.0,,36.27034496290951,,35.0,27.0,1.0,0.0658185902398521,-0.6127284081305648,-0.2605826397489702
LUNC,5.984e-05,5.0,4.000986817707333,0.24364744400518357,0.09529784941842706,0.37676915559328034,100.0,0.0,0.0,0.0,100.0,,101.0,,37.42285792207614,,35.0,31.0,0.0,-0.1486755323886271,-0.099668258379622,-0.26521881891269966
MAGIC,0.1148,4.0,37.8030319515222,0.18287128056155466,0.007218732767645898,0.3735384952169925,100.0,0.0,0.0,0.0,100.0,,101.0,,30.534549122919913,,35.0,6.0,0.0,-0.19587230386327703,-0.6481511510758925,0.20053107974192091
MANA,0.2465,6.0,5.769128088924257,0.21431304420623168,0.054259913063886056,0.396330218572601,101.0,100.0,0.0,0.0,100.0,,100.0,,39.509825668623144,,35.0,56.0,0.0,-0.4961879783588958,0.11194157591645766,-0.3110241276988253
MASK,2.047,4.0,1.8300133095651205,0.24719148313353792,-0.027699164887071408,-0.016139447101907876,100.0,100.0,10.0,0.0,100.0,,101.0,,42.25102876730655,,336.0,13.0,2.0,-0.4270176248557257,0.543719254372938,-0.06913204580909972
MATIC,0.3794,10.0,1.5165034260625163,0.14966865987162373,0.28787002089624714,0.8015491136848101,110.0,0.0,1.0,11.0,1.0,,0.0,,50.14035371512702,,336.0,230.0,1.0,0.8827173774131302,-0.34731949332834233,-0.05217059882777353
MAV,0.06591,2.0,26.32230518215144,0.23647868454121157,0.02047913079727666,0.13475450487469326,100.0,0.0,0.0,0.0,100.0,,101.0,,30.398986380829363,,56.0,56.0,1.0,-0.18587129229416105,-0.27819415362535854,-0.10338736642605299
MBL,0.002159,6.0,1.6306773648702062,0.17240896838008557,0.06518217938613373,0.18731228813693526,100.0,100.0,0.0,0.0,100.0,,100.0,,41.3720994281767,,336.0,56.0,2.0,-0.2688486107934165,-0.14605590917586742,-0.28952861358849225
MBOX,0.0729,5.0,22.25399923891451,0.20428518314717561,-0.0028073670969863537,0.3371841155840209,101.0,0.0,0.0,1.0,100.0,,101.0,,40.78874752337112,,378.0,31.0,1.0,0.036556470138738105,-0.2919405407508552,-0.14922171966279338
MDT,0.02516,3.0,3.852335473195048,0.1715269105415741,0.040902431253023064,0.23148947954667498,100.0,0.0,0.0,0.0,100.0,,101.0,oversold,39.72055767364593,,-1.0,12.0,0.0,-0.5196734796047915,-0.6467396093619996,-0.6060616550509702
MDX,0.0345,6.0,2.1800748764571334,0.11868399766715013,0.3608423848800491,0.3558460270178166,101.0,0.0,0.0,1.0,1.0,,0.0,,49.497809331589295,,-1.0,261.0,1.0,0.08228667456160337,-0.5833947854501863,7.986153214609905
MEME,0.002076,6.0,8.996189966995777,0.2154234210719522,-0.0041375252767779135,0.3574580531057687,101.0,0.0,0.0,1.0,0.0,,101.0,,25.478611636263334,,378.0,13.0,0.0,-0.46650694445656365,0.08708197569150733,-0.31987617987278
MINA,0.2389,3.0,17.5767323556332,0.21270874703005038,0.009692915316482757,0.2134394253224104,101.0,0.0,0.0,0.0,100.0,,101.0,,34.32722240758897,,35.0,27.0,0.0,-0.478417258931131,-0.024373422608166065,-0.3021658729928037
MKR,1327.0,12.0,1.7385556236013164,0.42300996415426045,0.6746732227240552,0.48545493011246454,101.0,1.0,10.0,1.0,11.0,,110.0,,49.53558073535006,,294.0,56.0,0.0,-0.4847118136651394,0.1739842131435567,-0.3407894626652007
MLN,13.01,13.0,3.131247191023164,0.3578398049472067,1.1083336719350232,0.7696509840024337,110.0,1.0,11.0,111.0,1.0,,101.0,,52.571554549461325,,-1.0,56.0,2.0,-0.41691992138251643,3.628847104466627,3.6228850528483285
MOB,0.0623,2.0,7.855497846187411,-0.2021965465398374,0.28365629491287364,-0.05904424058366588,10.0,0.0,0.0,100.0,100.0,,0.0,,49.07981901204001,,-1.0,-1.0,0.0,-0.6474423192115433,4.184662157928416,18.542797652620813
MOVR,5.566,5.0,10.368100342547761,0.2228115032425207,0.13914186889083932,0.3868706672519957,101.0,0.0,0.0,1.0,100.0,,101.0,,39.23485704258172,,35.0,13.0,1.0,0.02140985359100242,-0.0006556718631418003,-0.14207040656541928
MTL,0.701,5.0,2.3263066867540907,0.17500922003954314,0.08497364582645041,0.34467438626346064,101.0,0.0,0.0,1.0,100.0,,101.0,,40.42451820570769,,35.0,31.0,1.0,-0.44100655359825663,-0.29252579167287873,0.15617178385567096
MULTI,0.834,1.0,1.482304877450517,-0.22317384373997448,0.1369859936347168,-0.12761842707847934,10.0,0.0,0.0,0.0,10.0,,100.0,oversold,34.243593008778994,uncharged,-1.0,448.0,2.0,2.0726589046619863,-0.7941923454915503,-0.056938656886744016
NEAR,2.519,6.0,5.730376956588153,0.2035036847167417,0.20043941609001897,0.17151658736644873,100.0,0.0,10.0,0.0,0.0,,101.0,,40.7641566865737,,35.0,56.0,2.0,0.0528846062891259,0.0011077537427306892,-0.5249312996378384
NEO,5.18,3.0,3.969170580992673,0.06629528135046917,-0.1227380549350073,0.09229062268217478,0.0,100.0,0.0,0.0,100.0,,100.0,oversold,38.24887314740761,,35.0,56.0,2.0,0.5928453775208656,2.899079575677963,1.2578435566711277
NEXO,1.049,7.0,0.5638080039665795,0.07185020691115108,0.14611079588906692,0.2209467872658875,1.0,100.0,10.0,0.0,100.0,,100.0,,54.34508017914176,,35.0,27.0,1.0,-0.025256287287527594,0.05119325727841389,-0.442306567635207
NKN,0.0418,5.0,5.208356376469873,0.17723274405894565,0.01599109883452884,0.3484329232216556,101.0,0.0,0.0,1.0,100.0,,101.0,,39.030263304804585,,35.0,27.0,1.0,-0.39530849759440756,0.12952412960392798,0.1061287631294881
NMR,8.09,2.0,5.4095571992176055,0.21836658275789367,0.18237817495092573,0.1873876177644665,100.0,0.0,0.0,0.0,100.0,,101.0,,46.130225004901256,,378.0,46.0,1.0,-0.26566801094494286,-0.8624511498374695,1.076381802672893
NTRN,0.1325,8.0,24.700834661029578,0.2402145728775485,0.20867638965414118,0.4570142976239387,101.0,0.0,0.0,1.0,0.0,,101.0,,32.45518064339111,,35.0,31.0,0.0,-0.4052458541650873,-0.27896493372288084,-0.1869483565014163
NULS,0.1111,7.0,13.270740858984187,0.1371517154148272,0.05091148554574957,0.49237989113249925,101.0,0.0,0.0,1.0,0.0,,1.0,,37.096557749936245,,35.0,6.0,1.0,-0.11375446349467647,-0.2692134261218455,-0.4035581342277425
OAX,0.0358,1.0,1.7829617946974363,-0.49975978927282455,0.09100035207456333,-0.2348525614281482,10.0,0.0,0.0,0.0,10.0,oversold,10.0,oversold,50.85170468190214,,-1.0,194.0,0.0,-0.06790185566468833,-0.546495662970413,3.221604405273759
OCEAN,0.6123,10.0,1.726689911641423,0.13589484988905515,0.4064102167780915,0.6238875239597996,1.0,100.0,10.0,1.0,100.0,,100.0,,48.718140109819586,,-1.0,404.0,2.0,0.3526872590312431,-0.35063278026321576,1.706785818058982
OG,4.086,8.0,0.8851904372858613,0.375962089334053,0.2868141509294371,0.30318114255154405,111.0,101.0,100.0,100.0,101.0,,101.0,,60.85390402196038,,-1.0,31.0,1.0,-0.634300798084202,0.3052669820683311,-0.6051856482598728
OGN,0.0589,3.0,3.6591334025488784,0.19648476414647303,0.06542602054449877,0.23168261208508323,101.0,0.0,0.0,0.0,100.0,,101.0,,43.39604495630401,,35.0,27.0,1.0,-0.22199328272993268,-0.5038457206594457,-0.3287246189893917
OM,6.1779,5.0,2.9494853026596366,0.6488180712615785,0.18511622027416,0.18913704458882427,0.0,110.0,0.0,0.0,100.0,,100.0,,43.575956105432304,,539.0,6.0,1.0,0.48376103498604245,-0.508650221643114,-0.2998539243456141
OMG,0.383,6.0,3.622443367693236,0.11347175964547371,0.28094221948023557,0.4711324865404427,10.0,100.0,0.0,0.0,100.0,,100.0,,39.39748716317056,,833.0,384.0,2.0,0.13987940951659353,-0.7664855266997266,2.503813754504809
ONE,0.01078,8.0,11.232623957761398,0.21523099411610236,0.1592071213272332,0.29353511151427714,101.0,100.0,10.0,1.0,100.0,,100.0,,37.614809949810166,,35.0,13.0,1.0,-0.3041805910573703,0.2448782096095345,-0.32249928346163353
ONG,0.1905,1.0,2.4193804604571296,0.16570589841920702,-0.01808812603497605,0.10315639430907338,100.0,0.0,0.0,0.0,0.0,,101.0,oversold,43.37498474708492,,35.0,30.0,2.0,-0.40739859672930606,-0.052709564056418634,-0.014295538374683265
ONT,0.1382,8.0,2.341027819339704,0.17433905150148615,0.10659314602533539,0.40598246846045316,101.0,0.0,0.0,1.0,100.0,,101.0,,40.56205976232846,,35.0,13.0,1.0,-5.572319537963014e-05,0.0327397032024108,-0.26575642938481936
OOKI,0.000119,1.0,4.01049673696726,-0.7210960765454848,0.1567727192637862,-0.08967856656969649,10.0,0.0,0.0,0.0,0.0,oversold,0.0,oversold,41.089239790205276,,1057.0,194.0,3.0,1.0193113000925333,0.42412716221696967,15.576555968707638
OP,0.743,4.0,8.881593577448204,0.1864700462950333,-0.015608429713957872,0.29662786464397917,101.0,0.0,0.0,1.0,100.0,,101.0,,38.0965175945586,,112.0,13.0,1.0,-0.09139692381832712,-0.2442118353463001,-0.5879554078262735
ORDI,8.37,6.0,14.749234079936217,0.23879381719866777,0.12064149847937311,0.4659714312326257,101.0,0.0,0.0,1.0,0.0,,1.0,,36.809346738912545,,-1.0,31.0,0.0,-0.24736912569029126,0.012960541026240738,-0.5011281370814668
