tokens,tickers,cours,total_tests,ecart_BB_4d,position_prix_BB_4d,position_prix_BB_4h,position_prix_BB_30m,Tests_MM_4d,Tests_MM_4h,Tests_MM_30m,combo_rsi,Tests_RSI,Surventes_RSI_4d,Surachats RSI 4d,combo_cci,combo_chop,CHOP_4d,CHOP_4h,CHOP_30m,Charged_chop_4d,Charged_chop_4h,Charged_chop_30m,Tests_VOL,VOL_var_1d,VOL_var_7d,VOL_var_14d
power-ledger,powr,0.23906,11.0,0.05353372542258389,0.5307613486281422,1.0164395107014208,0.5153171740191897,101.0,111.0,110.0,,26.0,6.0,9.0,10,0,72.49955200705345,30.51010293269,29.437510943978037,71.01955568152951,64.89285038157087,24.587265905856725,2.0,0.0020202351074484672,1.0117920812927619,0.4718929868294136
presearch,pre,0.03177195,4.0,0.06038157461441551,-0.00022350804125461347,0.3373496972202071,0.08576275612998956,0.0,1.0,100.0,,15.0,0.0,20.0,10,1,48.33397698090043,24.70923168624295,51.30559047470648,34.12482731681718,35.231393032514205,0.0,0.0,-0.014020942527981297,-0.26418650648669667,-0.39364399749622575
project-galaxy,gal,1.54,4.0,0.05727785332665801,0.6351165723666753,0.3631200475176767,0.069953173436263,111.0,0.0,0.0,,10.0,0.0,22.0,0,0,57.00422028134685,56.65055848253899,20.101533109980355,29.649999443663,23.350957627730224,0.0,3.0,-0.017551913228395437,0.05626083493294499,0.1721642680234653
prometeus,prom,4.51,5.0,0.05324909340152493,0.40852637256186775,0.5909166854109545,-0.0022303516624919617,110.0,10.0,100.0,,10.0,0.0,25.0,10,0,46.82312043326323,42.415140499400344,24.739762480335568,0.0,0.0,0.0,3.0,0.2252151491206481,0.0010721485796280942,0.20388654436137052
prosper,pros,0.306471,3.0,0.05129978553297477,0.26941260724235605,0.4911853861973549,0.05094045652302797,0.0,110.0,0.0,,10.0,0.0,11.0,10,10,61.62256249978375,63.9694553850601,11.054800670220198,4.648843838083941,5.343356487633095,12.97371961920863,2.0,-0.0009757411699199145,-0.10677860600826292,-0.2670367154724681
proton,xpr,0.00087532,10.0,0.20742245793199207,0.6678658100548638,0.6774522202537093,0.5438324218285677,110.0,111.0,110.0,,115.0,0.0,40.0,10,11,27.79640925236626,62.868240781499026,68.24948054614069,0.0,35.86073536010851,56.32163875494052,0.0,-0.0032346882616656495,-0.08238533823787288,-0.15121264787305294
pstake-finance,pstake,0.03152374,5.0,0.10985467117687911,0.5410966921278574,0.13088276887988926,0.36950938537354205,110.0,100.0,1.0,,2.0,0.0,39.0,1,10,49.447890614279515,53.68316660673559,32.01467971636387,8.06266249351399,1.598207134274439,0.0,1.0,0.002367072512594077,-0.03163958705707063,-0.06094065552578399
pundi-x-2,pundix,0.551662,4.0,0.06851332042327318,0.5274288394807963,0.45437260879154573,0.05389986768869429,110.0,10.0,0.0,,10.0,0.0,25.0,0,0,62.04755435731415,51.796416383042285,39.585921898645466,39.56744840294121,22.02767639437989,37.950332351746596,2.0,-0.002970111263408255,0.2134333826391876,0.3214539113730891
qredo,qrdo,0.03829,7.0,0.11947057467678764,0.3872710640890126,0.9563126113661877,0.12041156124917232,10.0,11.0,100.0,,115.0,0.0,0.0,10,1,59.24154011056949,30.33818209711941,42.23423490065352,41.632492223996174,36.904071010172814,0.0,2.0,-0.04779506843858862,0.14702246184881518,0.40088965513777225
qtum,qtum,3.18,3.0,0.04610199279011582,0.4200385656677642,0.5509250527329171,0.06442556904180641,100.0,10.0,0.0,,10.0,0.0,4.0,10,0,60.741747849533255,49.59182985163151,21.873482366720115,15.215257814030885,14.934445052767693,0.0,2.0,0.001169039066833917,0.06570953144194162,0.033408363488403446
quant-network,qnt,103.71,5.0,0.09022923401613668,0.2178893232224028,0.7205563866744842,0.11136445683639828,100.0,10.0,100.0,,20.0,3.0,8.0,10,0,47.64793194031661,46.51676118971373,33.99897266893119,0.0,0.0,18.995868250646083,3.0,0.0025029123114927512,0.06307748834262475,0.09940365915474164
quark-chain,qkc,0.0115584,7.0,0.06003080209278707,0.709101076246047,0.5585348450434042,-0.0019720571315959517,111.0,110.0,0.0,,110.0,0.0,7.0,0,1,67.18160454420308,23.579830976780457,23.903930796085362,202.4559088791121,125.77929658849435,70.70558097137999,1.0,-0.0040442280116062485,-0.6363601459686122,-0.5857814069438566
quick,quick,53.9,10.0,0.1509346091843467,0.5635534227796148,0.973572271052419,0.37607025018258883,110.0,111.0,110.0,,115.0,0.0,27.0,10,1,30.96868615759182,14.520272104451536,24.04744637373039,0.0,0.0,0.0,1.0,-0.00993968182330396,0.42287797831530216,0.4027059278774853
radiant-capital,rdnt,0.2764,6.0,0.06733899771864658,0.4150468239716743,0.5712344095399717,-0.0024759143388714453,101.0,10.0,100.0,,20.0,0.0,22.0,10,0,57.53869925272335,42.28427848869068,23.469254304650207,7.214822388692667,5.4947862387506206,14.88904842126557,3.0,-0.013044749548034213,0.14667994447571278,0.186588405595054
radicle,rad,1.62,7.0,0.056148854831997407,0.6999510383933569,0.559599808335204,0.001469294977976006,111.0,10.0,100.0,,20.0,0.0,11.0,0,0,52.91109053286373,46.19152092601423,29.131595388632142,0.33837299605528415,0.0548722411498801,62.29282098820366,3.0,0.014971107568151358,0.0768827665478287,0.131343366289104
radio-caca,raca,0.00018361,3.0,0.18664162073769255,0.23721921117604278,0.494391582024602,0.06150105406045225,0.0,10.0,0.0,,20.0,0.0,3.0,10,10,38.114176395741964,51.17214956109375,35.18957516813453,119.31741009655809,0.0,0.0,2.0,-0.0032359528862819327,0.04260225782886814,-0.1158121931032833
radix,xrd,0.04415562,11.0,0.06803048437960797,0.3900110966791417,0.9687288680844792,0.6939639709859653,10.0,111.0,111.0,,116.0,0.0,21.0,10,0,51.737472823444655,30.27842894706208,19.851580059181522,0.0,0.0,23.41403995429617,3.0,-0.004851707720601543,0.2663501400140244,0.3590355571631389
ravencoin,rvn,0.01931164,7.0,0.0670464705127881,0.7363246788594626,0.4610472074106455,0.035946836559960546,111.0,10.0,100.0,,110.0,0.0,9.0,0,0,54.842126882869344,48.71093046120733,30.75897540279703,0.0,0.0,73.14384695109896,2.0,-0.0012875377092953632,0.06339428547873265,-0.06699185895687199
raydium,ray,0.359987,5.0,0.2890675294166333,0.19546331429032274,0.6222858740922541,0.1652692517560772,100.0,110.0,0.0,,12.0,0.0,25.0,10,0,43.33230373123145,36.80727423264747,27.927761449147134,276.3407468092169,104.4924710058667,0.0,1.0,-0.0031395602076769694,-0.20103653242612443,-0.07821474472947675
redfox-labs-2,rfox,0.01356084,7.0,0.276227719274272,0.08753495051213238,1.0067129349956443,0.4015327371141007,100.0,11.0,110.0,,15.0,2.0,52.0,10,11,9.660810482061372,16.97540502847572,28.341844343378238,0.0,0.24124913913486523,32.62064557314761,3.0,0.0005546382591840196,0.14908863951147022,0.1112132518243948
reef,reef,0.00173818,5.0,0.0828801886403414,0.4656004161772896,0.6083454668425126,0.0012255558246024878,110.0,10.0,100.0,,10.0,0.0,16.0,10,0,51.42430610903192,40.93808189442331,36.189522613531814,0.0,0.0,0.0,3.0,0.04861801199830259,0.048910500998719145,0.06812073551510123
rei-network,rei,0.03033146,5.0,0.07099557822826627,0.6978345920029505,0.45924060922373566,0.10740780207662111,110.0,10.0,0.0,,110.0,0.0,19.0,0,10,41.95852204158286,45.68839839179249,33.390316170210134,66.2031777158081,11.882431901123859,59.189803265202684,0.0,-0.3061358301107676,0.12175493632880864,-0.19383838262326475
render-token,rndr,2.47,10.0,0.10968757054513682,0.6482549319635449,0.8718391421237085,0.7856798251700446,101.0,111.0,101.0,,22.0,0.0,2.0,10,1,50.08818701199344,6.334508259462635,44.81116645157407,0.0,0.0,0.0,4.0,-0.011262768350638011,0.28495179189041175,0.7273409282213638
republic-protocol,ren,0.060707,5.0,0.09600179682413044,0.2507977412004832,0.6567244578802601,-0.0022320773572964817,10.0,11.0,100.0,,10.0,0.0,5.0,10,0,58.53346404640304,43.93591435258775,39.36853384065763,219.55230475660176,303.56538506676577,2.0206566143169056,3.0,-0.005686509721684718,0.11001113105394722,0.09450020073439905
request-network,req,0.084385,4.0,0.07942639119696362,0.2767165131051259,0.5770272975664409,0.05253428394038503,100.0,10.0,100.0,,10.0,0.0,27.0,10,0,47.65875221996242,37.486027186116395,32.00489004830935,0.0,0.0,0.0,3.0,-0.006882748752249122,0.10353473489374435,0.4989529016452414
reserve-rights-token,rsr,0.00265048,4.0,0.13223076789329002,0.14612734531445062,0.5032469929636227,0.08672746677457588,100.0,10.0,100.0,,10.0,0.0,33.0,10,10,44.89542745993008,46.495651166710445,24.848850115155102,3.8125758966968135,5.946110241814061,33.05097313896911,3.0,0.05435829825077833,0.11559636474613579,0.1732107637370919
rif-token,rif,0.107917,2.0,0.09031163625702562,0.18158021171253783,0.39248333081499553,0.029269486056470277,0.0,10.0,0.0,,10.0,0.0,6.0,10,0,56.58135623606526,43.20375661370412,32.56079823535531,76.52519764459188,65.05489912349634,0.0,1.0,-0.005968068969687233,-0.10335856634202589,0.24770868133964172
ripple,xrp,0.65174,1.0,0.04953531309662246,0.20442580726748846,0.3886884701475739,-0.0008856812499125575,0.0,0.0,0.0,,10.0,0.0,31.0,10,0,53.50999967285129,44.19518595424563,21.889902518320806,3.407130691816654,0.32152638455793436,113.5495959099955,2.0,0.00024519763618881924,0.0851475788895249,-0.003619199395689791
rmrk,rmrk,1.95,5.0,0.2307691621082093,-0.011588305814358504,0.6026646189512748,0.3628221417137452,100.0,10.0,1.0,,12.0,0.0,32.0,10,10,41.58605102018653,44.979870989381716,43.10735226765127,0.0,0.0,33.20461078237007,3.0,0.00856635601410253,0.48512063437672004,0.5297995096171398
rocket-pool,rpl,32.13,9.0,0.09799585976091824,0.8245560070381982,0.7741816141601017,0.42964387353400546,101.0,11.0,110.0,,25.0,0.0,44.0,0,0,56.82771594915343,45.34813301342782,22.09312250452396,2.900810535263517,2.8844468501661424,28.361059461385146,1.0,-0.003010006044982536,0.3054912809425409,0.17061779773320446
route,route,3.01,9.0,0.1365100309614836,0.6767941866829531,0.8684414074279423,0.3149816749183251,111.0,111.0,100.0,,15.0,1.0,43.0,10,1,41.95091305410847,20.955136678856032,55.865179696534085,0.0,0.0,0.0,2.0,-0.04720854375818029,-0.1567046803671516,-0.1505765420899572
safepal,sfp,0.687461,4.0,0.10521726871911988,0.21840969894258513,0.5676368626556701,0.044889315411514655,0.0,10.0,100.0,,20.0,0.0,3.0,10,0,45.46037055105104,44.47121864300424,29.75931867212508,0.0,0.0,13.061646891977091,2.0,0.002513367693485809,0.18060397857480104,0.0412937630318484
